Date,Max Hourly Temp (C),Min Hourly Temp (C),Max Wind Speed (m/s),Total Precip (mm)
2016-06-12,32.77777777777778,18.88888888888889,6.7056,0.00
2016-06-13,32.77777777777778,15.555555555555557,4.91744,0.00
2016-06-15,32.77777777777778,22.77777777777778,6.7056,0.16
2016-06-16,28.88888888888889,18.88888888888889,8.04672,0.00
2016-06-17,29.444444444444446,17.22222222222222,6.25856,0.00
2016-06-18,30.555555555555557,17.22222222222222,5.81152,0.00
2016-06-19,32.22222222222222,19.444444444444446,5.81152,0.00
2016-06-21,28.333333333333336,18.333333333333336,6.7056,0.00
2016-06-22,29.444444444444446,17.77777777777778,8.04672,1.45
2016-06-24,28.88888888888889,17.77777777777778,3.12928,0.00
2016-06-25,33.333333333333336,18.88888888888889,4.91744,0.00
2016-06-29,25.555555555555557,10.0,5.81152,0.00
2016-06-30,25.555555555555557,12.222222222222223,4.91744,0.00
2016-07-02,18.333333333333336,11.11111111111111,4.91744,0.00
2016-07-05,28.88888888888889,20.555555555555557,4.4704,0.00
2016-07-08,30.0,18.88888888888889,7.15264,0.00
2016-07-09,26.666666666666668,15.555555555555557,5.81152,0.00
2016-07-10,28.333333333333336,15.0,3.57632,0.00
2016-07-11,30.555555555555557,18.88888888888889,6.25856,0.00
2016-07-14,30.0,19.444444444444446,6.25856,0.00
2016-07-15,26.666666666666668,17.22222222222222,6.7056,0.00
2016-07-18,28.88888888888889,21.666666666666668,6.25856,0.39
2016-07-21,31.666666666666668,22.22222222222222,5.81152,0.10
2016-07-23,31.111111111111114,21.666666666666668,3.12928,0.00
2016-07-26,28.333333333333336,20.555555555555557,4.02336,0.00
2016-07-27,29.444444444444446,18.333333333333336,3.12928,0.00
2016-08-02,28.333333333333336,19.444444444444446,3.12928,0.00
2016-08-04,31.111111111111114,20.0,2.68224,0.00
2016-08-06,27.77777777777778,18.333333333333336,4.91744,0.00
2016-08-07,28.333333333333336,17.77777777777778,5.81152,0.00
2016-08-08,28.333333333333336,18.88888888888889,4.02336,0.00
2016-08-09,30.0,19.444444444444446,2.68224,0.00
2016-08-10,31.111111111111114,19.444444444444446,3.57632,0.00
2016-08-14,23.88888888888889,17.77777777777778,3.57632,0.00
2016-08-16,27.77777777777778,21.666666666666668,4.4704,0.09
2016-08-20,26.666666666666668,17.22222222222222,9.38784,0.25
2016-08-21,23.88888888888889,13.88888888888889,5.81152,0.00
2016-08-22,24.444444444444446,12.777777777777779,3.12928,0.00
2016-08-29,30.555555555555557,20.555555555555557,3.57632,0.00
2016-08-30,28.88888888888889,21.11111111111111,5.81152,0.00
2016-09-01,25.0,15.555555555555557,7.15264,0.00
2016-09-02,24.444444444444446,15.0,6.7056,0.00
2016-09-03,26.11111111111111,13.88888888888889,4.91744,0.00
2016-09-04,27.77777777777778,13.88888888888889,4.4704,0.00
2016-09-05,31.111111111111114,17.77777777777778,6.25856,0.00
2016-09-06,32.22222222222222,21.11111111111111,6.7056,0.00
2016-09-07,31.666666666666668,22.22222222222222,8.9408,0.00
2016-09-11,24.444444444444446,10.555555555555555,4.02336,0.00
2016-09-12,26.11111111111111,11.666666666666668,5.81152,0.00
2016-09-13,30.0,14.444444444444445,4.4704,0.00
2016-09-15,28.333333333333336,17.22222222222222,4.4704,0.00
2016-09-18,28.333333333333336,15.555555555555557,2.68224,0.00
2016-09-19,30.555555555555557,13.333333333333334,4.91744,0.00
2016-09-20,32.77777777777778,16.11111111111111,3.12928,0.00
2016-09-21,32.22222222222222,16.666666666666668,5.81152,0.00
2016-09-22,32.77777777777778,15.555555555555557,5.81152,0.00
2016-09-23,32.77777777777778,17.22222222222222,4.4704,0.00
2016-09-24,31.666666666666668,18.88888888888889,4.4704,0.00
2016-09-26,23.333333333333336,10.0,8.04672,0.24
2016-09-27,25.0,9.444444444444445,7.59968,0.00
2016-10-03,23.88888888888889,13.333333333333334,3.57632,0.00
2016-10-04,27.77777777777778,13.88888888888889,6.7056,0.00
2016-10-05,28.88888888888889,17.22222222222222,7.59968,0.00
2016-10-06,30.0,17.22222222222222,6.7056,0.00
2016-10-07,23.88888888888889,7.777777777777779,8.04672,0.00
2016-10-08,20.0,6.111111111111112,4.91744,0.00
2016-10-09,25.0,7.222222222222222,4.4704,0.00
2016-10-10,25.555555555555557,7.777777777777779,3.57632,0.00
2016-10-11,26.11111111111111,10.555555555555555,7.15264,0.02
2016-10-12,23.333333333333336,10.0,9.83488,0.24
2016-10-14,21.11111111111111,6.111111111111112,6.7056,0.00
2016-10-16,21.666666666666668,17.77777777777778,8.04672,0.36
2016-10-17,30.0,18.88888888888889,13.4112,0.00
2016-10-19,20.555555555555557,11.666666666666668,7.59968,0.26
2016-10-22,16.666666666666668,0.5555555555555556,7.15264,0.00
2016-10-23,24.444444444444446,6.666666666666667,10.28192,0.00
2016-10-24,17.77777777777778,6.111111111111112,6.25856,0.00
2016-10-25,16.666666666666668,5.0,6.7056,0.05
2016-10-28,20.0,5.0,8.04672,0.00
2016-10-29,27.222222222222225,16.666666666666668,9.83488,0.00
2016-10-30,18.333333333333336,8.333333333333334,7.59968,0.00
2016-10-31,20.0,6.111111111111112,6.7056,0.00
2016-11-01,26.666666666666668,15.555555555555557,9.38784,0.00
