Date,Max Hourly Temp (C),Min Hourly Temp (C),Max Wind Speed (m/s),Daily Precip (mm)
5/26/2015,26.11111111111111,19.444444444444443,13.4112,4.7
5/27/2015,27.22222222222222,16.11111111111111,9.38784,0.0
5/28/2015,30.0,13.88888888888889,6.7056,0.0
5/29/2015,30.0,19.444444444444443,9.83488,0.0
5/30/2015,23.88888888888889,10.0,9.83488,28.6
5/31/2015,13.88888888888889,9.444444444444445,9.83488,20.1
6/1/2015,19.444444444444443,11.666666666666666,6.25856,0.0
6/2/2015,22.77777777777778,11.11111111111111,6.7056,0.0
6/3/2015,25.0,11.666666666666666,4.02336,0.0
6/4/2015,27.22222222222222,15.0,4.91744,0.0
6/5/2015,30.0,13.88888888888889,8.04672,0.0
6/6/2015,26.666666666666668,13.333333333333334,5.81152,0.0
6/7/2015,31.666666666666668,17.77777777777778,11.176,0.0
6/8/2015,27.77777777777778,18.333333333333332,8.04672,31.0
6/9/2015,30.0,15.555555555555555,3.57632,0.0
6/10/2015,32.77777777777778,20.0,8.04672,0.0
6/11/2015,31.666666666666668,20.0,6.7056,0.0
6/12/2015,30.0,20.555555555555557,8.04672,4.200000000000001
6/13/2015,28.88888888888889,21.11111111111111,7.15264,13.500000000000002
6/14/2015,27.22222222222222,22.22222222222222,8.04672,0.0
6/15/2015,29.444444444444443,22.22222222222222,6.7056,1.2999999999999998
6/16/2015,26.666666666666668,18.333333333333332,7.59968,15.999999999999995
6/17/2015,25.0,17.77777777777778,8.9408,0.0
6/18/2015,27.77777777777778,20.555555555555557,8.9408,9.500000000000002
6/19/2015,23.333333333333332,18.333333333333332,7.15264,3.0999999999999988
6/20/2015,27.22222222222222,20.0,7.15264,0.0
6/21/2015,27.77777777777778,20.0,6.7056,6.4
6/22/2015,30.0,21.666666666666668,,0.0
6/23/2015,26.666666666666668,17.22222222222222,8.9408,0.0
6/24/2015,23.333333333333332,17.22222222222222,5.81152,1.1999999999999997
6/25/2015,26.666666666666668,19.444444444444443,9.83488,24.4
6/26/2015,22.22222222222222,18.333333333333332,5.81152,14.000000000000002
6/27/2015,24.444444444444443,14.444444444444445,8.04672,0.8
6/28/2015,24.444444444444443,13.333333333333334,4.4704,0.0
6/29/2015,25.555555555555557,17.77777777777778,4.91744,3.3
6/30/2015,27.22222222222222,17.77777777777778,4.91744,0.0
7/1/2015,24.444444444444443,16.11111111111111,5.81152,0.0
7/2/2015,25.0,14.444444444444445,5.81152,0.0
7/3/2015,24.444444444444443,15.555555555555555,4.4704,0.0
7/4/2015,26.11111111111111,13.88888888888889,2.2352,0.0
7/5/2015,27.77777777777778,14.444444444444445,2.68224,0.0
7/6/2015,30.0,17.22222222222222,6.25856,0.0
7/7/2015,24.444444444444443,13.333333333333334,6.25856,16.6
7/8/2015,21.11111111111111,13.333333333333334,6.25856,13.1
7/9/2015,20.0,16.11111111111111,6.25856,6.600000000000002
7/10/2015,25.555555555555557,16.666666666666668,2.68224,0.0
7/11/2015,26.11111111111111,16.11111111111111,4.91744,2.8999999999999995
7/12/2015,30.0,21.666666666666668,3.12928,1.5
7/13/2015,32.22222222222222,22.77777777777778,6.25856,0.0
7/14/2015,30.0,18.333333333333332,6.7056,0.0
7/15/2015,26.11111111111111,15.555555555555555,4.91744,0.0
7/16/2015,28.333333333333332,18.333333333333332,6.25856,0.0
7/17/2015,32.22222222222222,22.77777777777778,6.25856,0.0
7/18/2015,32.22222222222222,22.22222222222222,6.7056,0.0
